nama_hotel,nama_pelanggan,rating,ulasan,,,
XYZ,M***a,9.7,"staf hotel ramahÂ² dr mulai securty,receptionist hingga room servis. ruangan kamar ok ga sempitÂ² bgt,dpt lantai 8 view ny seru bs liat jalanan,liat bus dan kereta seliweran saran ny menu makanan utk bfast lebih variasi lg,smoga k depan ny tv sdh bs smart tv dan kolam renang bs lebih luas.",,,
XYZ,M***o,9.4,"Overall oke. Udah 2 kali stay di sini. Hanya saja yang kedua ini handuk satu-nya bau apek, seperti ga kering laundry-nya. Selain itu ga ada masalah.",,,
XYZ,L***I,10,"Service-nya oke banget, semua staff helpful. Overall good, pertahankan dan terus tingkatkan.",,,
XYZ,T***y,10,"Saya menginap saat libur Lebaran 2025, hotel dalam keadaan penuh dan full-booked, staff resepesionis tetap sabar dan melayani dengan baik, meskipun ada customer yang tidak sabar mengantri. Semoga staff resepsionis selalu diberikan berkah melimpah atas kesabarannya dalam melayani customer. Terima kasih atas pelayanan terbaiknya.",,,
XYZ,F***r,10,Karena urusan pekerjaan jadi sering ke sini. Recommend.,,,
XYZ,H***y,10,"Untuk anak saya yang usia 9 tahun dan makan cuma sedikit, harus membayar setengah harga agak kurang worth it.",,,
XYZ,Tri H. G.,8.2,staf baik dan sangat membantu dalam pelayanannya.,,,
XYZ,saridewi r.,10,Hotel ter wortit staft ramah sopan hitel bersih makanan nya gak ngadal bener2 enak,,,
XYZ,D***u,9.4,"Transit ke Bandara Soetta, ini salah satu hotel pilihan terbaik. Lokasinya strategis di Tangerang, dekat dengan akses jalan toll. Kamar nyaman, kebersihan bagus baik di kamr ataupun kamar mandi, hotel juga tidak bising, over all Oke. Security ramah, receptionist yang cewek jg ramah. Receptionist yang cowok kurang ramah, sempat minta tolong malam-malam untuk bantuin akses tap teman yang datang ke hotel karena posisi saya baru selesai landing dan capek banget kalau harus turun (saya sudah dengan sopan pakai kata tolong ya). Tiba tiba ternyata teman di tap akses di lantai yang salah dan terjebak tidak bisa naik ataupun turun. Akhirnya sata turun ke lobby untuk kasih tau receptionist. Menurut saya bantuin akses tap tidak sesulit itu kan ya, teman juga info pas tap akses juga tidak ramah.",,,
XYZ,M***M,8.2,Selalu menyenangkan bermalam di D'prima.,,,
XYZ,Robert T. A.,10,"Akses ke hotel ini mudah, dekat jalan tol. Kalau lewat Jl. Daan Mogot memang agak lambat tergantung kepadatan. Hotelnya nyaman, bersih. Ada kolam renang buat anak dan dewasa. Ada tempat buat fitness juga. Kamar-nya ok, AC-nya dingin banget, water heater berfungsi baik. Sayang program TV-nya seperti film-film lama. Refrigerator kurang dingin, padahal bawa makanan bayi, akhirnya tetap disimpan di cooler box yang dibawa, toh kamar-nya dingin banget. Dapat kamar di pojok, kacanya lebar jadi dari atas bisa lihat sisi Timur dan Selatan. Makanannya enak. Staf-nya ramah-ramah. Nginap di sini pas bulan puasa, jadi berasa booking 1 hotel. Renang cuman sekeluarga, breakfast juga ditemani 1-2 tamu lain. Overall ok, puas sih nginap di sini. Terima kasih..",,,
XYZ,H***H,10,luar biasa keren dan nyaman hotelnya. Staff dan Pegawai baik dan ramah. kualitas kamarnya sangat oke. cocok untuk yang sedang liburan dan ingin terbang ke Bandara Soekarno Hatta. semoga dprima hotel bisa semakin maju dan membuka cabang khusus di Kota Palangkaraya.. terimakasih,,,
XYZ,Tony T.,9.4,"Staff di hotel sangat ramah dan cakap. Saya sempat ketinggalan hp di restonya, dalam kondisi banyak orang, hp saya segera diamankan dan disimpan oleh staf hotel. ğ??ğ??",,,
XYZ,shinta d.,8.5,"Kamar luas, makan kurang variasi.",,,
XYZ,Azhar I. T.,9.4,"Bermalam di sini karena memang dekat dengan tempat biasa saya berkumpul, ditambah lagi parkiran yang lega, overall good ğ??.",,,
XYZ,Abdul R.,10,bagus tempatnya dekat kemna" pelyanan nya sagat ramah kamarnya bersih,,,
XYZ,Fauzan N. R.,10,"Staff hotel ramah, pelayanan check in dan check out sangat cepat dan tidak ribet",,,
XYZ,P***o,9.7,Bagus kamar dan bangunan hotelnya,,,
XYZ,A***a,6.2,"Kunci rusak, hairdryer rusak. Td nya minta pindah kamar ga dikasi. Setelah nelponin terus untung dikasi pindah kamar oleh managernya",,,
XYZ,H***n,10,"Nyaman, bersih dan aman. Akses mudah",,,
XYZ,I***h,9.7,"Selalu nyaman nginep di hotel ini. Dari anak2 masih kecil sampai mereka skrg sudah remaja, pelayanan tetap sama, tetap ramah dan kamar nyaman. Untuk makanan masih agak kurang rasa, kurang variatif. Tapi overall okay.",,,
XYZ,Riandini A.,9.7,"Overall semua okey, rencana cuma mau 1 malem jadi nambah karena emang se nyaman itu. Kayaknya ini bakal jadi tempat staycation favorit kalo ke Tangerang. Best hotel dengan di kelasnya. Best dari segi harga, fasilitas, ukuran kamar. Dan jatuh cinta banget sama bed nya, bed sheet nya, spreinya halus banget. Kamar bersih banget, gak ada bau apa-apa. Ada lemari baju yang bantu banget kita nata baju buat dipake. Amenities lengkap dengan kualitas sikat gigi yang gak abal, tapi kurangnya ga ada shower cap. Sabun mandi dan shamponya harum. Handuk feel bersih banget, air pancurannya kenceng. Agak kurang di restorannya, kopinya kurang enak. Oleh karena itu aku pesen kopi di restorannya, Ice Americano dan Hot Americano witch is the price its not that affordable sih. 2 pesanan itu total 79rb, tapi pas dateng kopinya tetep dibawah ekspektasi. Aku sampe ragu, apakah kopi itu dari espresso atau nggak.",,,
XYZ,E***a,10,"Suka staycation di siniğ?¥°nyaman banget, dkt stasiun juga, setiap ke tgr pasti mampir ke sini",,,
XYZ,R***n,10,Kondisi channel televisi ditambah,,,
XYZ,Agung G.,9.7,"Udah langganan nginap di sini, menu sarapan nya uenak uenak dan ada kopi hitam nya di menu sarapan nya wajib di coba, enak legit dan harum. Thx untuk semua staf yang ramah ramah nya.",,,
XYZ,elvian,10,"Saya nginap di sini karena jenguk anak kuliah di dekat-dekat hotel, proses cek in cepat, minta kamar di lantai bawah langsung di berikan, suasana dan kebersihan kamar bagus, makanan cukup variasi dan enak, padahal dengan rate segitu, tp bisa menyediakan menu variasi dan banyak pilihan, sangat recommended untuk nginap di sini lagi",,,
XYZ,r***i,10,Harga oke lokasi strategis nyaman dan makanan di hotel enak enak cocok jadi pilihan saat liburan bersama keluarga maupun me time,,,
XYZ,a***a,10,"Kamar hotel nya bersih, pelayanan nya ramah tempat yang strategis dan harga afordable banget.",,,
XYZ,s***a,8.8,Makanan cukup beragam dan enak. Di sekitar hotel banyak jual mknn. Minus nya lantai kamar mandi pakai keramik licin jadi khwtir trpeleset.,,,
XYZ,e***n,9.4,"Check in mudah, kamar nyaman dan makanan cukup variasi",,,
XYZ,E***a,10,"Waktu cek in cepat, stafframah, akses juga enk. ğ?¥°",,,
XYZ,w***a,10,"untuk k sekian kalinya, tetap aja nyaman di sini, banyak kuliner di dpn hotel",,,
XYZ,N***a,10,Memuaskan. Makanan enak. Tidak ada yang mengecewakan.,,,
XYZ,H***t,9.1,"Hanya gymnya yang perlu diperbaiki, selebihnya sudah baik dan oke semua. Nyaman sekalii",,,
XYZ,D***a,8.5,"Stafnya sangat ramah, setiap kali kita bertemu satu sama lain mereka selalu menyapa dan tersenyum, Menu Sarapan Ga Terlalu Variatif, rasanya cukup enak seperti hotel bintang 4. Rulesnya boleh dong unkulahkan pengunjung yg mau isi ulang mineral udara kalo bisa diantar ke kamar, Gapapa Kalo memang haru bayar lagi tp sapersionis telp katananya turh sendiri ke bawah unkuk air air air heuu.",,,
XYZ,Novi R.,9.7,"Kali ke sekian stay di hotel ini karena memang suka. Tapi stay yg kali ini, waktu check in, receptionist nya agak jutek, kurang ramah. Pesanan saya include breakfast, tapi diinfokanya tanpa breakfast, cara bertanyanya juga kurang menyenangkan. Padahal sebelum2nya bagian Front Office yg saya temui selalu bagus dan ramah. Tolong bisa dimaintain keramahan dan ketulusannya. Untuk yg lain2nya semua ya OK as usual..",,,
XYZ,S***y,10,"breakfast nya the best ..kamar nyaman bgt, view nya ok ada krl nya... lobi nya luas .over all ok bgt lah.....",,,
XYZ,SUGENG P.,10,Puas menginap di Dprima ramaj bersih makanan juga variatif kamarnya the best,,,
XYZ,Udo S.,8.8,"kamar luas bersih wangi.. parkir luas staff ramah lobby juga besar cm tidak ada welco drink, sarapan lumayan banyak rasanya juga enak.. cm kekurangan diarea kamar mandi keramik lantai yang digunakan keramik yang licin jadi kena air licin sampe mau jatuh, terus shower nya ngehadap kepintu dan tidak ada tutup area shower kaya hotel lainya jdi air shower tidak kemana2, karena tidak ada pintu kaca diarea shower jadi air basah sampe ke kloset dan lantai licin sekali, selebihnya ok",,,
XYZ,I***n,10,cari hotel random tau nya TOP MARKOTOP JOZZ. Staff Hotel super ramah.. dari security sampai resepsionist baik semua dan sangat membantu. next bakal nginep lg karna blm coba kolam renang nyağ???.,,,
XYZ,Basilius A.,9.7,Hotel di sini dekat airport. Sarapan okelah lezat dan pilihan banyak. Overall 8/10. Cuman kedap suara kurang.,,,
XYZ,F***r,9.4,Nyamaann sekalii. Rekomen bangett,,,
XYZ,E***a,10,Good sudah langganan sejak jaman di pegang Alium,,,
XYZ,elisa M.,9.1,Variasi sarapan saat ini berkurang mungkin bisa di tambahkan lagi,,,
XYZ,R***s,8.5,Staf solutif dan Ramah. Makanan enak.,,,
XYZ,R***s,9.1,"Staf sangat solutif. Ketika saya lapor kulkas gak berfungsi, langsung diganti. Nice. Sedikit sara: shower kamar mandi kalo bisa diganti, karena ada yang sudah kondisinya kurang baik.",,,
XYZ,N***i,10,"Kali ketiga stay di hotel ini. Meski dekat dengan rel kereta api, tapi tidak berisik. Check in check out cepat. Menu breakfast cukup variatif dan rasanya cukup enak. Pertahankan kualitas ya! Thanks.",,,
XYZ,Tirta K.,9.1,"Staff ramah, kamar nyaman, dekat dengan segala akses",,,
XYZ,S***l,10,"pas blm nyobain hotel d prima masih pindah2 hotel,setelah nyobain dprima selalu langganan disini",,,
XYZ,P***a,10,"Deket sama Bandara n mau kemana2 juga gampang, kamarnya luas n bersih, staff hotelnya semua ramah2",,,
XYZ,Wawan S.,10,"Dengan harga segitu, cukup mewah. Bersih dan fasilitas enak digunakan",,,
XYZ,r***i,10,"staff ramah2 semua, trims mba Selim cek in nya kalo bisa additional breakfastnya diturunkan harganya ğ???.. next balik lagi",,,
XYZ,Nadia N.,9.4,"Secara keseluruhan Oke, tp kaget pas lagi Keluar Kamar Dan Balik Lagi Ke Kamar Tbtb Pintu Kamar Ke Buka Sendiri Dan Gorden Ke Buka Bua Pas Aku Dan Keluarga Lagi Ga Ada Di Kamar, Pas di Konfirmasi Anggota Rumah Ternyataeper Househeeping. Saran, Lain Kali Kalo Mau Masuk Kamar Entah Itu Ada Tamu Atau Ga Ada Tamu Di Dalam Kamar Harus Konfirmasi Terlebih Dahulu",,,
XYZ,R***e,9.4,"Tempat yg nyaman, staff nya juga ramah.. lokasi strategis.. wajib dicoba",,,
XYZ,A***n,10,"hotel rekomended banget,kamar bersih dan luas harga terjangkau.Biar bintang yg berbicara dech",,,
XYZ,YANTO P.,10,"perjalanan bisnis yang menyenangkan,Proses cek in cepat mba resepsionisnya ramah sangat membantu, makannya enak & lezat pelayanan di restauran ramah, terimakasih Mas purnama,Mba Mufida & Mba Vera yang sudah kasih pengalaman yang menyenangkan ketika makan di restoran dan pesanan room service dengan Mas Rama yang sangat membantu dengan cepat ketika perut saya lapar,kamar lumayan bersih luas,overall excellent ğ??? Top d'prima.",,,
XYZ,solikul i.,10,"stafnya ramah, kamar bersih, tempatnya nyaman, strategis",,,
XYZ,d***h,9.4,"Nyaman. Kesekian kali menginap saat giat kantor. Seluruh staff ramah, check in dan checkout cepat ğ??",,,
XYZ,Aida U.,8.5,"Kamarnya bersih, luas lagi, kamar mandi juga bersih n luas. Breakfast nya juga ok, keren pokoknya.",,,
XYZ,A***y,9.1,"bagussss,cukup luassss, pokoknya nyaman dan memuaskan",,,
XYZ,N***i,10,hotel ternyaman untuk staycation bareng keluarga,,,
XYZ,E***i,9.7,hotel terbaik .. keren,,,
XYZ,R***t,9.4,"terbaik pokoknya proses checkin dan check out tidak ribet,",,,
XYZ,l***a,10,"hotel nya bagus, bersih, . pesan 3 kamar semuanya bersih. pelayanan nya baik. breakfast nya variannya lumayan byak ya, rasanya standar, overall puas, apalgi ada kolam renangnya, anak saya suka yg berbau air, mengingat kota jakarta yg panas nya ampunğ?¤£ğ?¤£sblmnya sdh pernah nginap juga di prima hotel mangga dua, sblm orgtua pulang ke medan diajak staycation dsini, dekat dri bandara lagi ya. mknya pilih hotel ini. jgan ragu nginap dsini ya guys.",,,
XYZ,s***f,9.4,Udah kesekian kali nya staycation di sini dan worth it banget,,,
XYZ,A***I,9.7,bagus dan dekat dengan pusat belanja,,,
XYZ,Miftahul J.,9.4,"staff hotel ramah & cepat dalam cekin cekout, sarapan dengan rasa yg enak, kolam renang ada 2 buat anak & dewasa (kamar ganti nya bersih), disekitar hotel byk tukang jajanan jd klo mlm laper tinggal turun kebawah ( alfa / subway ).",,,
XYZ,D***e,10,Staff ramah d saat check-in. Pelanyanan sangat memuaskan. Jangan ragu check-in d sini.,,,
XYZ,p***r,9.4,"Staff, kamar, fasilitas semuanya oke banget, cuman sayang ana kamarnya tidak soundproof",,,
XYZ,c***i,9.7,Nyaman dan gak kapok nginep di sini lagi,,,
XYZ,R***i,9.7,Mohon ditingkatkan variasi makanan,,,
XYZ,Dicky A.,9.7,"Staff sangat ramah, makan enakÂ²",,,
XYZ,S***y,10,"Staffnya oke semua, ramah, friendly, secara keseluruhan oke dech cocok buat keluarga",,,
XYZ,E***A,9.4,pengalaman berkesan bisa menginap di hotel d prima semuanya oke,,,
XYZ,R***m,8.5,"sangat nyaman dan santai dqn dekat dengan terminal, stasiun KA, exit toll top deh..",,,
XYZ,N***i,10,Recommend banget deh pko nya. Kamar nya bersih pelayanan nya ramah. Makanan nya enak-enak. Bakal jadi tempat favorit bersma keluarga,,,
XYZ,D***i,10,"Staff hotel Ramah & Kebersihan hotel, kamar nya sangat baikğ??ğ?¤©",,,
XYZ,J***i,9.4,"Kamar nyaman, fasilitas lengkap, wifi kencang",,,
XYZ,Putra y.,10,Sangat bagus dan petugas hotel sangat ramah. Lingkungan sekitar sangat bersih,,,
XYZ,Yosepha D. H.,9.7,Tarif kamar Terjangkau Kamar Bersih Enak Banget,,,
XYZ,B***y,10,"Nginep di sini karena ada seminar di sini. Hotelnya bagus, makanan breakfast enak. Staff ramah, free parkir juga.",,,
XYZ,p***i,9.6,Cukup menyenangkan & lokasi strategis hanya saja makanan sarapan kurang variatif & rasanya standar saja,,,
XYZ,p***i,9.4,Cukup menyenangkan & lokasi strategis,,,
XYZ,S***i,9,semua nya ok. cuma saat breakfast kurang nyaman karena anak tidak makan pagi dan di tanya sampai kemeja oleh staf.. makanan enak semua kok. sukses selalu dprima hotel,,,
XYZ,Rahma F.,10,"staf hotel yang ramah, satpamnya oke kamarnya bersih",,,
XYZ,andre s.,9.1,Terima kasih sudah di Upgrade Room ğ???,,,
XYZ,l***n,8.5,"Pelayanan selalu baik, tingkatkan terus",,,
XYZ,Fendy F. A.,10,pengalaman kedua nginap di sini. worthed semua dengan harga nya.. pertahankan Dprima tangerang,,,
XYZ,a***l,8.1,"Hotel nya bagus, lokasi strategis, deket banget minimarket dan banyak tukang jualan makanan di sekitar. Kamar bersih saya suka. Saya dapet di lantai 3 bener-bener gak ada view. Terus kayaknya hotelnya banyak yang pake buat acara, jadi kalo kita keluar masuk diloby itu agak risih karena banyak orang saat ada acara. Kolam renang nya kecil, gak ada playground. Bingung hotel bintang 4 gak ada shaver (alat cukur). Pokoknya ini hotel worth it banget buat transit or buat ada acara gitu. Kurang cocok buat liburan apalagi sama keluarga. Karena fasilitas minim banget. Gitu aja",,,
XYZ,Imelda M.,9.4,"hari ke 2, luar biasa masuk dari pintu menuju reseptionis sdh disambut dengan aroma ruangan yang wangi. Suasana kamar 312 yang nyaman. Anak2 senang dan memutuskan untuk extend 2 hari lg. Pagi2 iseng melewati area sarapan , wuahhh menyesal tidak order dengan paket sarapan. Menunya enak2. keep it up DPrima. The best hotel di Tangerang Kota.",,,
XYZ,Feony Y.,8.2,Hotel nyaman untuk stay di area Tangerang,,,
XYZ,m***d,10,Crew hotel yang saya temui ramah semua,,,
XYZ,ayank t.,10,Ga akan nyesel ke sini bersih pelayanan luar biasa,,,
XYZ,Nandi Y.,9.7,"Kasurnya enak dan nyaman untuk tidur, staff n cs nya ramah",,,
XYZ,ayank t.,10,Kesekian kalinya menginap d sini puas semuanya 10/10 pokoknya,,,
XYZ,F***n,8.8,"Secara keseluruhan bagus, Ada Kendala Di Wastafel Tapi Okelah",,,
XYZ,Derry H. P.,10,"saya sdh 3x menginap disini dan hasilnya ttp sama. hotel bintang 4 yg real staff ramah,fasilitas oke,room bersih, hotelnya lumayan bagus,mkn tdk mengecewakan enak2. next kesini lagi bareng family.",,,
XYZ,Intan E.,9.4,Sepadan dengan harga Banget Sih. Kamarnya Banget Banget. Nyaman. Sempurna,,,
XYZ,H***y,10,Sangat bagus hotel nya cocok untuk traveling,,,
XYZ,Nandi Y.,9.7,"Kasurnya enak, staf hotel ramah",,,
XYZ,t***g,10,"Recommended, hotelnya nyaman, menu sarapan juga oke, rugi kalau gx ambil sarapan",,,
XYZ,Hartatik,10,Hotel bersih dan karyawan Ramah dan Sloan,,,
XYZ,ayank t.,10,Setiap ke tangerang pasti mampir ke hotel ini,,,
XYZ,K***a,10,"Staff nya sangat ramah-ramah banget, pokok nya the best banget",,,
XYZ,Rio W.,10,"Untuk seluruh staff dan karyawan ramah, serta makanan dan lingkungan hotel enak",,,
XYZ,R***y,8.4,"Staf Hotel Ramah, Dekat Dengan Stasiun Batu Ceper",,,
XYZ,e***a,8.5,"menginap di Hotel ini karena pas ada kerjaan di tangerang untuk lokasi sangat strategis karena dekat sekali dengan stasiun kereta dan hotel ini juga cukup nyaman, kebersihan dan pelayanan nya cukup oke serta pelayanan nya juga bagus",,,
XYZ,Y***f,9.7,"Nyaman dan sesuai request pelayanan nya,",,,
XYZ,S***t,9.4,Pelayanan staffnya ramah baru sampai lobby sudah di bantu semua prosesnya. Proses cek in juga sangat mudah. Kebersihan lumayan lah. Namun perlu di tingkatkan hingga detail detail kecil karena sempat menemukan beberapa kotoran kecil di lantai namun tidak terlalu bermasalah buat saya karena dapat saya bersihkan sendiri. Selebihnya memuaskan.,,,
XYZ,S***i,10,"sejauh ini baik... suka d sini, tp mungkin untuk bisa d tambah netflix... biar enak nonton nya...",,,
XYZ,Mia Y.,10,"after Akad Nikah, langsung kesini dgn koper yg banyak, karna pas check out mau lgsg ke kota Suami. Pelayanan disini sangat ramah sekali, stafnya membantu, murah senyum, hotel & kmrnya bersih sekaliğ??? the best pokonya.",,,
XYZ,S***p,10,"Hotel yang sangat bagus, cocok untuk menginap bagi keluarga maupun pasangan, harga sangat murah namun tidak murahan, pelayanan dan kamar sangat baik, pengalaman menginap yang sangat menyenangkan",,,
XYZ,Ferdis K.,10,Untuk semua fasilitas memuaskan. Kebersihan dan keamanan sangat terjaga. Staff ramah-ramah,,,
XYZ,R***i,10,Sangat ramah bilaperlu selalu tetap terjaga kualitas dan mutu SOP hotelnya.,,,
XYZ,H***o,10,Para staf yang ramah dan pelayanan yang baik.,,,
XYZ,R***a,8.5,ramah semuaa membantu dan pelayanan ok menurut ku,,,
XYZ,S***i,9.4,"staff hotel sangat ramah, ruangan bersih wangi, namun untuk sarapan standar sesuai harga sih lumayan enak banget sih nginep disini bagi yang mau ke bandara bisa naik keretağ???",,,
XYZ,Riyan O.,7,"Mantap. Kamar nyaman, kolam renang kurang bersih.",,,
XYZ,Sopiyanti F. N.,10,Honeymoon paling berkesan di hotel ini.,,,
XYZ,B***n,9.4,"Saya baru saja menginap di dprimahotel tangerang dan sangat terkesan dengan pelayanannya. Proses check-in berjalan lancar berkat bantuan Fadel dan April yang ramah dan cepat menangani permintaan saya. Kamar saya bersih dan luas, dengan pemandangan kota yang memukau.",,,
XYZ,V***a,8.5,Lebih kebersihan kamar aja di perhatikan dan perawatan gedung.,,,
XYZ,V***a,8.5,"Saran saya untuk kebersihan aja di jaga, dan perawatan gedung. So far menginap di sini enak. Harus pandai-pandai memilih tipe-tipe kamar.",,,
XYZ,E***a,9.7,"Hotelnya keren, stafnya yang pling oke bapak security yang jaga dilobby ramah banget perlu diacungi jempol 5, resepsionis yang jaga cowok tgl 14 jam 5 pagi juga ramah banget padahal saya tau anda kyknya ngantuk banget tapi anda ramah pak, keren, teknisi juga gercep, apalagi cleaning service yang bersihkan di lantai 9 pagi pukul 10 rajin dan gercep banget, kalian semua keren ğ??. Tapi sayang banget saya flight lagi dan sarapannya g bisa di take away ğ??­ semoga next kalo nginep sni bisa, dan shuttle bus ke bandara Soetta semoga TEREALISASI seperti diketerangan yang tertera ditraveloka, sama satu lagi nyamuk dikursi depan resepsionis banyak banget mohon diperhatikan.",,,
XYZ,F***a,10,Staff ramah kamar nyaman dekat ke tempat makan. Recommended pokoknya tks dprima hotel.,,,
XYZ,m***d,10,Mantabs Keren Oke Sik Asik Josk.,,,
XYZ,Abdul A. M.,9.7,"Pertama kali datang ke hotel ini, melebihi ekspektasi yang saya harapkan. Mulain dari security dan staff hotel yang ada di dalam, semuanya sangat ramah. Mereka tidak segan menanyakan jika ada hal yang mungkin dirasa perlu dijelaskan.",,,
XYZ,T***y,10,Hotel bagus dengan harga terjangkau. Beberapa kali mengadakan kegiatan di sini. Cukup baik.,,,
XYZ,Agung G.,10,"Sudah jadi langganan saya saat ada urusan bisnis di tangerang, akses mudah kemanaana, dekat dengan gerbang tol menuju bandara, bogor, cikampek dan serpong. Ada somay enak di depan hotel persisnya di depan alfamidi enak pol.",,,
XYZ,Agung G.,10,"Staf stafnya ramah ramah, sarapanya banyak pilihan dan rasa nya cukup enak enak. Selalu dapat harga terbaik. Recommended hotel di tangerang kota. Puas puas dah.",,,
XYZ,vira r.,10,"Recommended banget buat bermalam di sini, dari pelayanan, kamar, dan makanannya oke semua, tetap dipertahankan kan ya ğ?¥°ğ??ğ?».",,,
XYZ,Bud D.,10,"Check in dengan mas hotel pelayanan disambut sangat ramah, kami menginap 2 malam dengan sarapan yamg enak enak dan kamar yang bersih. Terima kasih dprimahotel.",,,
XYZ,e***a,8.5,Hotel yang cukup baik menurut saya dan kebetulan dekat dengan stasiun hanya saja pihak hotel tidak bisa memenuhi pesanan khusus walau kita sudah pesan jauh hari sebelumnya semoga bisa sebagai bahan masukan u managemen untuk perbaikan ke depan nya.,,,
XYZ,Cindy N.,10,"Pelayanan memuaskan, tetap di pertahankan ya terima kasih.",,,
XYZ,Hery P.,9.4,"Menyenangkan. Pelayanan baik,",,,
XYZ,D***i,10,"Selalu langganan di hotel ini. Kamar bersih, toilet bersih, staf nya ramah. Lokasi nya ok.",,,
XYZ,e***a,8.6,Saya pelanggan tetap di sini setiap kali ada pekerjaan di tangerang tapi 2 kali terakhir ini booking kamar 1 bed selalu dapat 2 bed yang di jadikan 1 padahal saya sudah booking dan pesan jauh hari selebih nya hotel ini menyenangkan2.,,,
XYZ,D***i,9.4,"Pelayanan baik, kamar bersih dan ac dingin, sarapan bervariasi banyak pilihan. Note: kamar mandi seperti nya salah pemilihan lantai karena lebih cocok untuk dinding. Tidak ada tekstur kasar dan lama keringnya sehingga harus extra hati-hati.",,,
XYZ,L***a,10,Semua Ok yaa baru pertama kali nginap di sini. Kamar bersih toilet bersih (bagiku penting toilet ga bau) ke bandara sekitar 15 menit,,,
XYZ,L***a,9.7,Baru pertama kali nginap di sini. Staff ramah & membantu sekali selama proses check in (pemesanan di traveloka) kamar & toilet bersih banget suka jadinya (saya paling utama toilet harus super bersih) menu sarapan pagi ini lumayan lah (1- 10 nilai 7 sbb ga ada sayuran hijau) selebihnya ok insyaAllah Next nginap di sini lagi bila ada keperluan daerah Tangerang seperti sekarang ini. Baarakallahu fiikum.,,,
XYZ,K***O,9.7,Mantap semua deh pokoknya. Pertahankan XYZ. Kapan-kapan pengin kesini lagi kalo ke Tangkot. Inshaa Allah.,,,
XYZ,HARTATI K.,10,"Ok good. Kamar deluxe (2 orang) kenapa sedia kopinya hanya satu. Tidak terdapat sisir, hanya sikat gigi & pasta. Lainnya niceâ?¦. Thanks dâ??prima hotel Tangerang & Traveloka.",,,
XYZ,P***a,10,Harga yang murah untuk fasilitas yang didapatkan. Rekomendasi hotel dekat bandara.,,,
